항목,값,icon,stats,금지항목
unemployed,8,icons/Profession_nojob.png,,
fireofficer,0,icons/Profession_fireofficer2.png,str:1;fit:1;Axe:1;Running:1,
policeofficer,-4,icons/Profession_policeofficer2.png,Aiming:4;Nimble:1;Reloading:1,
parkranger,-4,icons/Profession_parkranger2.png,Herbalist:0;Trapping:1;Knapping:1;Carving:1;FirstAid:1;Foraging:1,herbalist
constructionworker,-2,icons/Profession_constructionworker2.png,Carpentry:1;Maintenance:1;Masonry:2;ShortBlunt:2;LongBlunt:1,
securityguard,-2,icons/Profession_securityguard2.png,NightOwl:0;Lightfooted:1;ShortBlunt:1;Running:2,
carpenter,-2,icons/Profession_hammer2.png,Carpentry:4;Maintenance:1;Masonry:1;ShortBlunt:1;Carving:1,
burglar,-6,icons/Profession_burglar2.png,Burglar:0;Lightfooted:2;Nimble:2;Sneaking:2,
chef,-4,icons/Profession_chef2.png,Butchering:2;Cooking:4;Maintenance:1;ShortBlade:1,cook
repairman,-2,icons/Profession_repairman2.png,Inventive:0;Carpentry:1;Maintenance:2;Masonry:1;ShortBlunt:1,inventive
rancher,0,icons/Profession_rancher.png,str:1;AnimalCare:4;Butchering:3,
farmer,0,icons/Profession_farmer2.png,Agriculture:4;AnimalCare:1;str:1,
fisherman,-2,icons/Profession_fisher2.png,Fishing:3;Foraging:1;Butchering:1,
doctor,2,icons/Profession_doctor2.png,FirstAid:6;ShortBlade:1,
veteran,-8,icons/Profession_veteran2.png,Desensitized:0;Aiming:2;Reloading:2,adrenalinejunkie;agoraphobic;brave;claustrophobic;cowardly;hemophobic
nurse,2,icons/Profession_nurse.png,NightOwl:0;str:1;FirstAid:3;Lightfooted:1,
lumberjack,0,icons/Profession_lumberjack.png,str:1;Axpert:0;Axe:2;Maintenance:1,
fitnessinstructor,-6,icons/Profession_fitnessinstructor.png,fit:3;str:1;Nutritionist:0;Running:2,nutritionist
burgerflipper,2,icons/Profession_burgerflipper.png,Cooking:2;Maintenance:1;ShortBlade:1,cook
electrician,-4,icons/Profession_electrician.png,Electrical:3,
engineer,-4,icons/Profession_engineer.png,Carpentry:1;Electrical:1;Masonry:1,
metalworker,-6,icons/Profession_metalworker.png,Welding:4,
smither,-6,icons/Profession_smither.png,Blacksmith:0;Maintenance:1;Blacksmith:4;ShortBlunt:1,blacksmith
mechanics,-4,icons/Profession_mechanic.png,Vehicle:0;Vehicle:4;Welding:1,mechanics
tailor,2,icons/Profession_tailor.png,Tailoring:4,
